Age,Location,Audio File,Mfcc File,Word,Annotation
10-12 years,Uttar Pradesh,./All/2496/HI_S4_W_4.mp3,mfcc_files/./All/2496/HI_S4_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/1814/HI_S2_W_4.mp3,mfcc_files/./All/1814/HI_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/4825/HI_S4_W_4.mp3,mfcc_files/./All/4825/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/3138/HI_S4_W_4.mp3,mfcc_files/./All/3138/HI_S4_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/501/MR_S2_W_4.mp3,mfcc_files/./All/501/MR_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4240/HI_S4_W_4.mp3,mfcc_files/./All/4240/HI_S4_W_4.csv,man,Correct
15-18years,Uttar Pradesh,./All/3418/HI_S2_W_4.mp3,mfcc_files/./All/3418/HI_S2_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/1672/HI_S4_W_4.mp3,mfcc_files/./All/1672/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1970/HI_S4_W_4.mp3,mfcc_files/./All/1970/HI_S4_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/4221/HI_S2_W_4.mp3,mfcc_files/./All/4221/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/1588/HI_S4_W_4.mp3,mfcc_files/./All/1588/HI_S4_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/1959/HI_S2_W_4.mp3,mfcc_files/./All/1959/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4440/HI_S2_W_4.mp3,mfcc_files/./All/4440/HI_S2_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/2218/HI_S4_W_4.mp3,mfcc_files/./All/2218/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/5270/HI_S4_W_4.mp3,mfcc_files/./All/5270/HI_S4_W_4.csv,man,Correct
5-7 years,Rajasthan,./All/3693/HI_S2_W_4.mp3,mfcc_files/./All/3693/HI_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2549/HI_S2_W_4.mp3,mfcc_files/./All/2549/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/3861/HI_S2_W_4.mp3,mfcc_files/./All/3861/HI_S2_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/600/MR_S2_W_4.mp3,mfcc_files/./All/600/MR_S2_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/1989/HI_S4_W_4.mp3,mfcc_files/./All/1989/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4885/HI_S2_W_4.mp3,mfcc_files/./All/4885/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2205/HI_S2_W_4.mp3,mfcc_files/./All/2205/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4967/HI_S4_W_4.mp3,mfcc_files/./All/4967/HI_S4_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/1833/HI_S4_W_4.mp3,mfcc_files/./All/1833/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1846/HI_S2_W_4.mp3,mfcc_files/./All/1846/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2771/HI_S2_W_4.mp3,mfcc_files/./All/2771/HI_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2522/HI_S2_W_4.mp3,mfcc_files/./All/2522/HI_S2_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/891/MR_S2_W_4.mp3,mfcc_files/./All/891/MR_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1623/HI_S4_W_4.mp3,mfcc_files/./All/1623/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4237/HI_S4_W_4.mp3,mfcc_files/./All/4237/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4638/HI_S2_W_4.mp3,mfcc_files/./All/4638/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/3883/HI_S4_W_4.mp3,mfcc_files/./All/3883/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2853/HI_S4_W_4.mp3,mfcc_files/./All/2853/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4222/HI_S4_W_4.mp3,mfcc_files/./All/4222/HI_S4_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/833/MR_S2_W_4.mp3,mfcc_files/./All/833/MR_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/3514/HI_S4_W_4.mp3,mfcc_files/./All/3514/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4187/HI_S4_W_4.mp3,mfcc_files/./All/4187/HI_S4_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/2635/HI_S4_W_4.mp3,mfcc_files/./All/2635/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2019/HI_S2_W_4.mp3,mfcc_files/./All/2019/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/1400/HI_S2_W_4.mp3,mfcc_files/./All/1400/HI_S2_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/495/MR_S2_W_4.mp3,mfcc_files/./All/495/MR_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2012/HI_S2_W_4.mp3,mfcc_files/./All/2012/HI_S2_W_4.csv,man,Correct
5-7 years,Uttar Pradesh,./All/1707/HI_S4_W_4.mp3,mfcc_files/./All/1707/HI_S4_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/1792/HI_S4_W_4.mp3,mfcc_files/./All/1792/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2333/HI_S4_W_4.mp3,mfcc_files/./All/2333/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2639/HI_S2_W_4.mp3,mfcc_files/./All/2639/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/5215/HI_S2_W_4.mp3,mfcc_files/./All/5215/HI_S2_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/2928/HI_S2_W_4.mp3,mfcc_files/./All/2928/HI_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/5020/HI_S4_W_4.mp3,mfcc_files/./All/5020/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/3614/HI_S4_W_4.mp3,mfcc_files/./All/3614/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/1887/HI_S4_W_4.mp3,mfcc_files/./All/1887/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/3923/HI_S2_W_4.mp3,mfcc_files/./All/3923/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4313/HI_S2_W_4.mp3,mfcc_files/./All/4313/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4346/HI_S2_W_4.mp3,mfcc_files/./All/4346/HI_S2_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/1434/HI_S2_W_4.mp3,mfcc_files/./All/1434/HI_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2073/HI_S4_W_4.mp3,mfcc_files/./All/2073/HI_S4_W_4.csv,man,Correct
5-7 years,Rajasthan,./All/3641/HI_S4_W_4.mp3,mfcc_files/./All/3641/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/3109/HI_S2_W_4.mp3,mfcc_files/./All/3109/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4284/HI_S2_W_4.mp3,mfcc_files/./All/4284/HI_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/4216/HI_S2_W_4.mp3,mfcc_files/./All/4216/HI_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1788/HI_S4_W_4.mp3,mfcc_files/./All/1788/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4188/HI_S4_W_4.mp3,mfcc_files/./All/4188/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2888/HI_S4_W_4.mp3,mfcc_files/./All/2888/HI_S4_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/1301/MR_S2_W_4.mp3,mfcc_files/./All/1301/MR_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1872/HI_S2_W_4.mp3,mfcc_files/./All/1872/HI_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/3431/HI_S2_W_4.mp3,mfcc_files/./All/3431/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/1345/HI_S4_W_4.mp3,mfcc_files/./All/1345/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/3592/HI_S2_W_4.mp3,mfcc_files/./All/3592/HI_S2_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/633/MR_S2_W_4.mp3,mfcc_files/./All/633/MR_S2_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/1230/MR_S2_W_4.mp3,mfcc_files/./All/1230/MR_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4453/HI_S2_W_4.mp3,mfcc_files/./All/4453/HI_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2971/HI_S2_W_4.mp3,mfcc_files/./All/2971/HI_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/3897/HI_S2_W_4.mp3,mfcc_files/./All/3897/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2949/HI_S4_W_4.mp3,mfcc_files/./All/2949/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/3591/HI_S4_W_4.mp3,mfcc_files/./All/3591/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/3233/HI_S4_W_4.mp3,mfcc_files/./All/3233/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/1883/HI_S4_W_4.mp3,mfcc_files/./All/1883/HI_S4_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/604/MR_S2_W_4.mp3,mfcc_files/./All/604/MR_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2808/HI_S2_W_4.mp3,mfcc_files/./All/2808/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4466/HI_S2_W_4.mp3,mfcc_files/./All/4466/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/5083/HI_S4_W_4.mp3,mfcc_files/./All/5083/HI_S4_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/970/MR_S2_W_4.mp3,mfcc_files/./All/970/MR_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/4528/HI_S4_W_4.mp3,mfcc_files/./All/4528/HI_S4_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/945/MR_S2_W_4.mp3,mfcc_files/./All/945/MR_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1823/HI_S4_W_4.mp3,mfcc_files/./All/1823/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/1756/HI_S2_W_4.mp3,mfcc_files/./All/1756/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/5158/HI_S2_W_4.mp3,mfcc_files/./All/5158/HI_S2_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/84/MR_S2_W_4.mp3,mfcc_files/./All/84/MR_S2_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/303/MR_S2_W_4.mp3,mfcc_files/./All/303/MR_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/3922/HI_S2_W_4.mp3,mfcc_files/./All/3922/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/3562/HI_S4_W_4.mp3,mfcc_files/./All/3562/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4121/HI_S2_W_4.mp3,mfcc_files/./All/4121/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4469/HI_S4_W_4.mp3,mfcc_files/./All/4469/HI_S4_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/3003/HI_S2_W_4.mp3,mfcc_files/./All/3003/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2685/HI_S4_W_4.mp3,mfcc_files/./All/2685/HI_S4_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/692/MR_S2_W_4.mp3,mfcc_files/./All/692/MR_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/3795/HI_S2_W_4.mp3,mfcc_files/./All/3795/HI_S2_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/2696/HI_S2_W_4.mp3,mfcc_files/./All/2696/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4014/HI_S2_W_4.mp3,mfcc_files/./All/4014/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4977/HI_S4_W_4.mp3,mfcc_files/./All/4977/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1702/HI_S4_W_4.mp3,mfcc_files/./All/1702/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/5242/HI_S2_W_4.mp3,mfcc_files/./All/5242/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/1708/HI_S4_W_4.mp3,mfcc_files/./All/1708/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/5266/HI_S2_W_4.mp3,mfcc_files/./All/5266/HI_S2_W_4.csv,man,Correct
7-10 years,Uttar Pradesh,./All/3298/HI_S2_W_4.mp3,mfcc_files/./All/3298/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/3978/HI_S2_W_4.mp3,mfcc_files/./All/3978/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2528/HI_S4_W_4.mp3,mfcc_files/./All/2528/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/3696/HI_S4_W_4.mp3,mfcc_files/./All/3696/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2564/HI_S2_W_4.mp3,mfcc_files/./All/2564/HI_S2_W_4.csv,man,Correct
5-7 years,Uttar Pradesh,./All/2703/HI_S4_W_4.mp3,mfcc_files/./All/2703/HI_S4_W_4.csv,man,Correct
10-12 years,Maharashtra,./All/434/MR_S2_W_4.mp3,mfcc_files/./All/434/MR_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/1497/HI_S2_W_4.mp3,mfcc_files/./All/1497/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4846/HI_S2_W_4.mp3,mfcc_files/./All/4846/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/3940/HI_S4_W_4.mp3,mfcc_files/./All/3940/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4496/HI_S4_W_4.mp3,mfcc_files/./All/4496/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1838/HI_S2_W_4.mp3,mfcc_files/./All/1838/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/5227/HI_S2_W_4.mp3,mfcc_files/./All/5227/HI_S2_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2984/HI_S4_W_4.mp3,mfcc_files/./All/2984/HI_S4_W_4.csv,man,Correct
5-7 years,Uttar Pradesh,./All/3188/HI_S2_W_4.mp3,mfcc_files/./All/3188/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/4953/HI_S2_W_4.mp3,mfcc_files/./All/4953/HI_S2_W_4.csv,man,Correct
7-10 years,Maharashtra,./All/402/MR_S2_W_4.mp3,mfcc_files/./All/402/MR_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/3568/HI_S2_W_4.mp3,mfcc_files/./All/3568/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4373/HI_S2_W_4.mp3,mfcc_files/./All/4373/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4184/HI_S4_W_4.mp3,mfcc_files/./All/4184/HI_S4_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/4203/HI_S2_W_4.mp3,mfcc_files/./All/4203/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/3995/HI_S4_W_4.mp3,mfcc_files/./All/3995/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/3383/HI_S4_W_4.mp3,mfcc_files/./All/3383/HI_S4_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4863/HI_S2_W_4.mp3,mfcc_files/./All/4863/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4529/HI_S2_W_4.mp3,mfcc_files/./All/4529/HI_S2_W_4.csv,man,Correct
12-15 years,Rajasthan,./All/4555/HI_S2_W_4.mp3,mfcc_files/./All/4555/HI_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1809/HI_S4_W_4.mp3,mfcc_files/./All/1809/HI_S4_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/784/MR_S2_W_4.mp3,mfcc_files/./All/784/MR_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2565/HI_S2_W_4.mp3,mfcc_files/./All/2565/HI_S2_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/5060/HI_S2_W_4.mp3,mfcc_files/./All/5060/HI_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2376/HI_S4_W_4.mp3,mfcc_files/./All/2376/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2785/HI_S2_W_4.mp3,mfcc_files/./All/2785/HI_S2_W_4.csv,man,Correct
10-12 years,Rajasthan,./All/4643/HI_S4_W_4.mp3,mfcc_files/./All/4643/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1759/HI_S4_W_4.mp3,mfcc_files/./All/1759/HI_S4_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/763/MR_S2_W_4.mp3,mfcc_files/./All/763/MR_S2_W_4.csv,man,Correct
12-15 years,Maharashtra,./All/638/MR_S2_W_4.mp3,mfcc_files/./All/638/MR_S2_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/2686/HI_S4_W_4.mp3,mfcc_files/./All/2686/HI_S4_W_4.csv,man,Correct
10-12 years,Uttar Pradesh,./All/1937/HI_S4_W_4.mp3,mfcc_files/./All/1937/HI_S4_W_4.csv,man,Correct
12-15 years,Uttar Pradesh,./All/2291/HI_S4_W_4.mp3,mfcc_files/./All/2291/HI_S4_W_4.csv,man,Correct
7-10 years,Rajasthan,./All/3804/HI_S4_W_4.mp3,mfcc_files/./All/3804/HI_S4_W_4.csv,man,Correct
